Precision,Recall,F1
0.7604,0.7942,0.7594
0.7295,0.7850,0.7351
0.6859,0.7778,0.7014
0.6515,0.7717,0.6717
0.6334,0.7632,0.6537
0.6128,0.7342,0.6239
0.6530,0.6178,0.5855
0.7791,0.5315,0.5525
0.8379,0.5061,0.5262
0.7980,0.6390,0.6380
