Precision,Recall,F1
0.5665,0.6283,0.5476
0.5051,0.6172,0.4991
0.4923,0.6647,0.4844
0.4795,0.6984,0.4680
0.4677,0.7490,0.4643
0.4732,0.7770,0.4656
0.6462,0.7548,0.5822
0.8436,0.7596,0.7383
0.9334,0.7366,0.7497
0.8679,0.7793,0.7562
