Precision,Recall,F1
0.5712,0.5182,0.4951
0.4783,0.5353,0.4481
0.4687,0.5868,0.4443
0.4634,0.6378,0.4436
0.4580,0.6867,0.4397
0.4749,0.7196,0.4514
0.6539,0.7280,0.5809
0.8566,0.7491,0.7363
0.9122,0.7197,0.7279
0.8599,0.7585,0.7400
