Precision,Recall,F1
0.5602,0.5692,0.5181
0.4819,0.5733,0.4684
0.4715,0.6231,0.4602
0.4630,0.6739,0.4550
0.4396,0.7217,0.4388
0.4528,0.7521,0.4468
0.6272,0.7412,0.5641
0.8380,0.7576,0.7353
0.9122,0.7197,0.7279
0.8599,0.7585,0.7400
