Precision,Recall,F1
0.8021,0.7363,0.7406
0.7709,0.7274,0.7169
0.7321,0.7227,0.6914
0.6975,0.7231,0.6644
0.6744,0.7081,0.6381
0.6524,0.6784,0.6065
0.6952,0.5782,0.5587
0.8275,0.5204,0.5411
0.8955,0.5105,0.5258
0.8527,0.6448,0.6344
