Precision,Recall,F1
0.7758,0.7914,0.7702
0.7484,0.7871,0.7508
0.7063,0.7840,0.7211
0.6739,0.7817,0.6941
0.6518,0.7658,0.6695
0.6376,0.7370,0.6436
0.6704,0.6120,0.5873
0.7729,0.5281,0.5503
0.8718,0.5138,0.5292
0.8221,0.6470,0.6373
