Precision,Recall,F1
0.7871,0.6658,0.7002
0.7208,0.6599,0.6691
0.6868,0.6566,0.6468
0.6594,0.6623,0.6276
0.6363,0.6534,0.6065
0.6219,0.6350,0.5841
0.6858,0.5313,0.5327
0.8276,0.4833,0.5131
0.8718,0.5138,0.5292
0.8221,0.6470,0.6373
