Precision,Recall,F1
0.5819,0.5665,0.5266
0.5028,0.5693,0.4775
0.4925,0.6176,0.4682
0.4869,0.6695,0.4676
0.4710,0.7189,0.4587
0.4873,0.7504,0.4756
0.7147,0.7427,0.6376
0.8824,0.7469,0.7528
0.9209,0.7286,0.7384
0.8571,0.7689,0.7494
