Precision,Recall,F1
0.7874,0.8691,0.8098
0.7426,0.8800,0.7828
0.6963,0.8715,0.7453
0.6625,0.8722,0.7175
0.6384,0.8596,0.6939
0.6251,0.8212,0.6698
0.6489,0.6746,0.6186
0.7251,0.5460,0.5554
0.8393,0.5180,0.5299
0.7892,0.6491,0.6303
