Precision,Recall,F1
0.7813,0.6776,0.6982
0.7178,0.6705,0.6665
0.6782,0.6661,0.6422
0.6396,0.6663,0.6166
0.6163,0.6583,0.5984
0.6003,0.6404,0.5734
0.6625,0.5444,0.5305
0.8370,0.4880,0.5168
0.8379,0.5061,0.5262
0.7980,0.6390,0.6380
