Precision,Recall,F1
0.7596,0.7521,0.7357
0.7171,0.7399,0.7057
0.6768,0.7344,0.6761
0.6362,0.7235,0.6421
0.6185,0.7172,0.6257
0.5994,0.6875,0.5948
0.6507,0.5844,0.5616
0.8028,0.5125,0.5377
0.8379,0.5061,0.5262
0.7980,0.6390,0.6380
