Precision,Recall,F1
0.7872,0.8234,0.7920
0.7448,0.8275,0.7654
0.6980,0.8204,0.7288
0.6583,0.8192,0.6971
0.6335,0.8074,0.6724
0.6146,0.7755,0.6453
0.6569,0.6239,0.5949
0.7444,0.5225,0.5385
0.8393,0.5180,0.5299
0.7892,0.6491,0.6303
