Precision,Recall,F1
0.6068,0.4572,0.4666
0.4825,0.4922,0.4231
0.4622,0.5246,0.3984
0.4705,0.5929,0.4186
0.4872,0.6713,0.4506
0.5202,0.7138,0.4807
0.7565,0.7183,0.6450
0.9074,0.7148,0.7335
0.9297,0.7094,0.7230
0.8606,0.7482,0.7287
