Precision,Recall,F1
0.5887,0.5080,0.4968
0.4838,0.5259,0.4467
0.4745,0.5607,0.4320
0.4732,0.6156,0.4353
0.4843,0.6879,0.4606
0.5200,0.7344,0.5013
0.7366,0.7312,0.6449
0.8889,0.7185,0.7323
0.9297,0.7094,0.7230
0.8606,0.7482,0.7287
