Precision,Recall,F1
0.7835,0.8007,0.7795
0.7520,0.7950,0.7577
0.7094,0.7910,0.7289
0.6684,0.7883,0.6981
0.6431,0.7740,0.6742
0.6289,0.7427,0.6483
0.6744,0.6142,0.5948
0.7703,0.5356,0.5546
0.8534,0.5059,0.5232
0.8058,0.6400,0.6353
