Precision,Recall,F1
0.7935,0.8352,0.8022
0.7586,0.8408,0.7815
0.7169,0.8342,0.7482
0.6831,0.8345,0.7209
0.6600,0.8170,0.6945
0.6480,0.7808,0.6680
0.6652,0.6562,0.6125
0.7488,0.5458,0.5620
0.8718,0.5138,0.5292
0.8221,0.6470,0.6373
