Precision,Recall,F1
0.7859,0.8571,0.8026
0.7449,0.8582,0.7755
0.7001,0.8494,0.7392
0.6639,0.8444,0.7076
0.6441,0.8372,0.6891
0.6266,0.7980,0.6593
0.6618,0.6702,0.6195
0.7426,0.5477,0.5628
0.8379,0.5061,0.5262
0.7980,0.6390,0.6380
