Precision,Recall,F1
0.7393,0.8462,0.7671
0.7272,0.8501,0.7626
0.7011,0.8470,0.7421
0.6675,0.8420,0.7130
0.6457,0.8223,0.6877
0.6332,0.7782,0.6587
0.6673,0.6469,0.6077
0.7424,0.5372,0.5579
0.8331,0.5119,0.5289
0.7837,0.6419,0.6317
