Precision,Recall,F1
0.7717,0.7502,0.7420
0.7331,0.7411,0.7189
0.6927,0.7335,0.6903
0.6557,0.7402,0.6679
0.6266,0.7284,0.6433
0.6160,0.6933,0.6175
0.6906,0.5836,0.5826
0.7898,0.5072,0.5347
0.8905,0.5046,0.5236
0.8413,0.6405,0.6362
