Precision,Recall,F1
0.6101,0.4323,0.4474
0.4956,0.4748,0.4181
0.4760,0.5254,0.4060
0.4933,0.5734,0.4203
0.5135,0.6496,0.4540
0.5395,0.6892,0.4784
0.7377,0.7003,0.6218
0.8927,0.7195,0.7278
0.9209,0.7286,0.7384
0.8571,0.7689,0.7494
