Precision,Recall,F1
0.7740,0.8045,0.7742
0.7469,0.7991,0.7558
0.7032,0.7916,0.7235
0.6674,0.7897,0.6953
0.6391,0.7757,0.6687
0.6311,0.7416,0.6458
0.6792,0.6217,0.6034
0.7725,0.5222,0.5456
0.8905,0.5046,0.5236
0.8413,0.6405,0.6362
