Precision,Recall,F1
0.5862,0.4551,0.4458
0.5140,0.4868,0.4235
0.4977,0.5383,0.4156
0.4887,0.5954,0.4176
0.4802,0.6559,0.4195
0.5193,0.6984,0.4606
0.6842,0.7208,0.5820
0.8336,0.7470,0.7029
0.9246,0.7344,0.7459
0.8734,0.7769,0.7620
