Precision,Recall,F1
0.5584,0.5583,0.5088
0.4891,0.5521,0.4609
0.4819,0.6010,0.4514
0.4796,0.6473,0.4506
0.4843,0.6967,0.4574
0.5015,0.7327,0.4719
0.6874,0.7366,0.6087
0.8810,0.7523,0.7569
0.9334,0.7366,0.7497
0.8679,0.7793,0.7562
