Precision,Recall,F1
0.5976,0.5139,0.4948
0.5225,0.5348,0.4626
0.4904,0.5882,0.4448
0.4705,0.6384,0.4356
0.4602,0.6944,0.4377
0.4879,0.7324,0.4671
0.6522,0.7331,0.5699
0.8186,0.7521,0.7013
0.9246,0.7344,0.7459
0.8734,0.7769,0.7620
