Precision,Recall,F1
0.8031,0.6039,0.6450
0.7415,0.6055,0.6280
0.7122,0.5969,0.6119
0.6963,0.6017,0.6000
0.6717,0.5963,0.5832
0.6552,0.5860,0.5636
0.7466,0.5095,0.5166
0.8719,0.4891,0.5105
0.8955,0.5105,0.5258
0.8527,0.6448,0.6344
